id,no,insee_citycode,type,postcode
7,7,75107,post1860,75007
8,8,75108,post1860,75008
4,4,75104,post1860,75004
9,9,75109,post1860,75009
2,2,75102,post1860,75002
10,10,75110,post1860,75010
1,1,75101,post1860,75001
11,11,75111,post1860,75011
3,3,75103,post1860,75003
14,14,75114,post1860,75014
19,19,75119,post1860,75019
5,5,75105,post1860,75005
6,6,75106,post1860,75006
13,13,75113,post1860,75013
17,17,75117,post1860,75017
18,18,75118,post1860,75018
20,20,75120,post1860,75020
12,12,75112,post1860,75012
16,16,75116,post1860,75016
15,15,75115,post1860,75015
21,1,,pre1860,
22,2,,pre1860,
23,3,,pre1860,
24,4,,pre1860,
25,5,,pre1860,
26,6,,pre1860,
27,7,,pre1860,
28,8,,pre1860,
29,9,,pre1860,
30,10,,pre1860,
31,11,,pre1860,
32,12,,pre1860,
